ecmf prod rt 2018011500 51 046
0120 pf 05 1.356 -0.421 1.420 4
0120 pf 06 1.523 -0.700 1.676 4
0120 pf 07 1.815 -0.455 1.872 4
0120 pf 08 1.595 -0.388 1.642 4
0120 pf 09 1.342 -0.587 1.465 4
0120 pf 10 1.657 -0.487 1.727 4
0120 pf 11 1.691 -0.357 1.728 4
0120 pf 12 1.690 -0.947 1.937 4
0120 pf 13 1.799 -0.491 1.864 4
0120 pf 14 1.200 -0.788 1.436 4
0120 pf 15 1.703 -0.862 1.909 4
0120 pf 16 1.493 -0.753 1.672 4
0120 pf 17 1.812 -0.696 1.941 4
0120 pf 18 1.305 -0.495 1.396 4
0120 pf 19 1.616 -0.341 1.651 4
0120 pf 20 1.633 -0.735 1.791 4
0120 pf 21 1.051 -0.411 1.128 4
0120 pf 22 1.310 -0.931 1.607 4
0120 pf 23 1.844 -0.449 1.898 4
0120 pf 24 1.789 -0.613 1.891 4
0120 pf 25 1.262 -1.302 1.814 3
0120 pf 26 1.368 -0.169 1.379 4
0120 pf 27 1.687 -0.616 1.796 4
0120 pf 28 2.053 -0.486 2.109 4
0120 pf 29 1.870 -0.667 1.985 4
0120 pf 30 1.567 -0.510 1.648 4
0120 pf 31 1.681 -0.603 1.786 4
0120 pf 32 1.657 -0.727 1.809 4
0120 pf 33 1.799 -0.283 1.821 4
0120 pf 34 1.479 -0.331 1.515 4
0120 pf 35 1.744 -0.752 1.899 4
0120 pf 36 1.461 -0.410 1.518 4
0120 pf 37 1.888 -0.712 2.017 4
0120 pf 38 1.311 -0.509 1.406 4
0120 pf 39 1.882 -0.684 2.003 4
0120 pf 40 1.859 -0.630 1.963 4
0120 pf 41 1.451 -0.482 1.529 4
0120 pf 42 2.182 -0.700 2.292 4
0120 pf 43 1.530 -0.572 1.634 4
0120 pf 44 1.460 -0.224 1.477 4
0120 pf 45 1.354 -1.035 1.705 4
0120 pf 46 1.404 -0.522 1.498 4
0120 pf 47 1.618 -0.512 1.697 4
0120 pf 48 1.597 -0.659 1.728 4
0120 pf 49 1.454 -0.533 1.549 4
0120 pf 50 1.851 -0.517 1.922 4
0144 em 00 1.635 -0.237 1.652 4
0144 cf 00 1.488 -0.258 1.510 4
0144 pf 01 1.408 -0.708 1.576 4
0144 pf 02 1.746 -0.424 1.797 4
0144 pf 03 1.446 0.060 1.447 5
0144 pf 04 1.673 -0.105 1.677 4
0144 pf 05 1.340 -0.135 1.346 4
0144 pf 06 1.435 -0.417 1.495 4
0144 pf 07 1.678 -0.008 1.678 4
0144 pf 08 1.626 -0.103 1.629 4
0144 pf 09 1.589 -0.370 1.632 4
0144 pf 10 1.755 -0.048 1.756 4
0144 pf 11 1.414 -0.136 1.421 4
0144 pf 12 1.902 -0.641 2.007 4
0144 pf 13 1.795 0.081 1.797 5
0144 pf 14 1.087 -0.608 1.246 4
0144 pf 15 1.642 -0.371 1.683 4
0144 pf 16 1.544 -0.408 1.597 4
0144 pf 17 1.713 -0.528 1.793 4
0144 pf 18 1.302 -0.280 1.332 4
0144 pf 19 1.539 0.044 1.540 5
0144 pf 20 1.860 -0.555 1.941 4
0144 pf 21 1.027 -0.219 1.051 4
0144 pf 22 1.382 -0.624 1.517 4
0144 pf 23 1.977 0.025 1.977 5
0144 pf 24 1.953 -0.153 1.959 4
0144 pf 25 1.639 -0.918 1.879 4
0144 pf 26 1.429 -0.168 1.439 4
0144 pf 27 1.509 -0.165 1.518 4
0144 pf 28 2.066 0.035 2.067 5
0144 pf 29 1.925 -0.092 1.927 4
0144 pf 30 1.618 0.078 1.620 5
0144 pf 31 1.617 -0.269 1.639 4
0144 pf 32 1.657 -0.233 1.674 4
0144 pf 33 1.714 0.149 1.720 5
0144 pf 34 1.371 -0.036 1.372 4
0144 pf 35 1.761 -0.230 1.776 4
0144 pf 36 1.436 -0.097 1.439 4
0144 pf 37 2.025 -0.345 2.054 4
0144 pf 38 1.407 -0.018 1.407 4
0144 pf 39 2.000 -0.190 2.009 4
0144 pf 40 1.904 -0.149 1.910 4
0144 pf 41 1.317 -0.125 1.323 4
0144 pf 42 2.125 -0.177 2.132 4
0144 pf 43 1.512 -0.329 1.548 4
0144 pf 44 1.490 0.248 1.511 5
0144 pf 45 1.458 -0.976 1.755 4
0144 pf 46 1.603 -0.272 1.626 4
0144 pf 47 1.593 0.034 1.593 5
0144 pf 48 1.793 -0.558 1.878 4
0144 pf 49 1.418 -0.344 1.459 4
0144 pf 50 1.908 0.023 1.908 5
0168 em 00 1.501 -0.029 1.501 4
0168 cf 00 1.326 -0.043 1.327 4
0168 pf 01 1.493 -0.488 1.571 4
0168 pf 02 1.444 -0.300 1.475 4
0168 pf 03 1.120 0.389 1.186 5
0168 pf 04 1.519 0.126 1.524 5
0168 pf 05 1.108 0.136 1.116 5
0168 pf 06 1.522 -0.187 1.533 4
0168 pf 07 1.351 0.199 1.365 5
0168 pf 08 1.556 0.031 1.556 5
0168 pf 09 1.428 -0.049 1.429 4
0168 pf 10 1.552 -0.107 1.556 4
0168 pf 11 1.279 0.091 1.282 5
0168 pf 12 1.876 -0.119 1.879 4
0168 pf 13 1.692 0.248 1.711 5
0168 pf 14 1.180 -0.279 1.213 4
0168 pf 15 1.508 -0.203 1.521 4
0168 pf 16 1.683 -0.223 1.697 4
0168 pf 17 1.517 -0.177 1.527 4
0168 pf 18 1.175 -0.273 1.206 4
0168 pf 19 1.457 0.220 1.473 5
0168 pf 20 1.779 -0.140 1.784 4
0168 pf 21 1.205 0.096 1.209 5
0168 pf 22 1.404 -0.278 1.431 4
0168 pf 23 1.888 0.261 1.906 5
0168 pf 24 1.837 0.242 1.853 5
0168 pf 25 1.526 -0.832 1.738 4
0168 pf 26 1.287 0.075 1.289 5
0168 pf 27 1.127 -0.083 1.130 4
0168 pf 28 1.936 0.229 1.949 5
0168 pf 29 1.788 0.136 1.793 5
0168 pf 30 1.261 0.285 1.293 5
0168 pf 31 1.506 -0.038 1.507 4
0168 pf 32 1.509 -0.187 1.521 4
0168 pf 33 1.340 0.399 1.398 5
0168 pf 34 1.195 -0.088 1.198 4
0168 pf 35 1.768 -0.078 1.769 4
0168 pf 36 1.401 0.031 1.402 5
0168 pf 37 2.021 -0.038 2.021 4
0168 pf 38 1.403 0.077 1.405 5
0168 pf 39 1.911 0.046 1.912 5
0168 pf 40 1.565 0.294 1.593 5
0168 pf 41 1.200 -0.041 1.200 4
0168 pf 42 1.752 0.152 1.759 5
0168 pf 43 1.459 -0.301 1.489 4
0168 pf 44 1.204 0.283 1.237 5
0168 pf 45 1.334 -0.807 1.559 4
0168 pf 46 1.467 -0.059 1.469 4
0168 pf 47 1.451 0.285 1.479 5
0168 pf 48 1.562 -0.305 1.591 4
0168 pf 49 1.007 -0.367 1.072 4
0168 pf 50 1.765 0.322 1.794 5
0192 em 00 1.428 0.193 1.441 5
0192 cf 00 1.269 0.183 1.282 5
