ecmf prod rt 2015030500 51 032
0240 pf 14 -1.238 2.990 3.236 7
0240 pf 15 -1.434 2.515 2.895 7
0240 pf 16 -0.960 3.481 3.611 7
0240 pf 17 0.255 3.527 3.536 6
0240 pf 18 -0.238 2.975 2.985 7
0240 pf 19 -1.045 3.324 3.485 7
0240 pf 20 -0.309 2.742 2.759 7
0240 pf 21 0.619 2.359 2.439 6
0240 pf 22 -1.047 3.786 3.928 7
0240 pf 23 -1.223 3.277 3.498 7
0240 pf 24 -0.501 3.077 3.117 7
0240 pf 25 -1.281 3.086 3.342 7
0240 pf 26 -0.080 4.088 4.089 7
0240 pf 27 -1.010 2.600 2.789 7
0240 pf 28 -1.401 2.693 3.035 7
0240 pf 29 -0.743 3.079 3.167 7
0240 pf 30 -0.414 3.112 3.139 7
0240 pf 31 -0.906 3.037 3.169 7
0240 pf 32 -0.158 3.762 3.765 7
0240 pf 33 -0.851 2.667 2.799 7
0240 pf 34 0.010 2.584 2.584 6
0240 pf 35 -0.659 3.004 3.076 7
0240 pf 36 -0.137 2.719 2.722 7
0240 pf 37 -0.685 3.487 3.553 7
0240 pf 38 -0.703 3.263 3.338 7
0240 pf 39 -0.919 3.740 3.851 7
0240 pf 40 -1.082 2.792 2.995 7
0240 pf 41 -1.536 4.056 4.337 7
0240 pf 42 -0.775 3.000 3.099 7
0240 pf 43 -0.292 3.125 3.138 7
0240 pf 44 -0.554 3.060 3.110 7
0240 pf 45 -1.257 3.188 3.427 7
0240 pf 46 -1.142 2.438 2.692 7
0240 pf 47 -0.001 3.152 3.152 6
0240 pf 48 -1.569 2.715 3.136 7
0240 pf 49 -0.505 3.323 3.361 7
0240 pf 50 -0.438 2.297 2.338 7
0264 em 00 -1.071 3.398 3.562 7
0264 cf 00 -1.051 3.407 3.565 7
0264 pf 01 -1.387 3.001 3.306 7
0264 pf 02 -0.657 4.473 4.521 7
0264 pf 03 -1.494 3.724 4.013 7
0264 pf 04 -1.010 3.843 3.973 7
0264 pf 05 -1.301 2.832 3.117 7
0264 pf 06 -0.855 3.140 3.254 7
0264 pf 07 -0.202 3.334 3.340 7
0264 pf 08 -0.320 2.633 2.652 7
0264 pf 09 -1.073 3.525 3.685 7
0264 pf 10 -1.056 3.342 3.504 7
0264 pf 11 -0.910 3.566 3.680 7
0264 pf 12 -0.504 3.042 3.083 7
0264 pf 13 -1.354 3.736 3.974 7
0264 pf 14 -1.648 3.038 3.456 7
0264 pf 15 -1.454 2.529 2.917 7
0264 pf 16 -1.765 3.668 4.071 7
0264 pf 17 -0.528 4.054 4.089 7
0264 pf 18 0.056 3.419 3.419 6
0264 pf 19 -1.449 3.586 3.868 7
0264 pf 20 -0.747 3.105 3.194 7
0264 pf 21 0.502 2.757 2.802 6
0264 pf 22 -1.744 3.618 4.016 7
0264 pf 23 -1.944 3.654 4.139 7
0264 pf 24 -1.000 2.972 3.135 7
0264 pf 25 -1.395 3.277 3.561 7
0264 pf 26 -0.254 4.431 4.438 7
0264 pf 27 -1.916 2.906 3.481 7
0264 pf 28 -1.563 3.062 3.438 7
0264 pf 29 -1.121 3.091 3.288 7
0264 pf 30 -0.657 3.677 3.736 7
0264 pf 31 -1.298 3.370 3.612 7
0264 pf 32 -0.893 4.001 4.100 7
0264 pf 33 -1.256 2.616 2.902 7
0264 pf 34 -0.025 3.068 3.068 7
0264 pf 35 -1.048 3.219 3.386 7
0264 pf 36 -0.506 2.983 3.026 7
0264 pf 37 -1.517 3.915 4.199 7
0264 pf 38 -1.300 3.461 3.697 7
0264 pf 39 -1.588 4.096 4.393 7
0264 pf 40 -1.458 3.047 3.378 7
0264 pf 41 -2.143 4.027 4.561 7
0264 pf 42 -1.003 3.264 3.415 7
0264 pf 43 -0.522 3.798 3.834 7
0264 pf 44 -1.035 3.446 3.598 7
0264 pf 45 -1.883 3.220 3.730 7
0264 pf 46 -1.559 2.725 3.139 7
0264 pf 47 -0.526 3.623 3.661 7
0264 pf 48 -1.991 2.826 3.457 7
0264 pf 49 -0.964 3.827 3.947 7
0264 pf 50 -0.712 2.730 2.821 7
0288 em 00 -1.507 3.398 3.717 7
0288 cf 00 -1.764 3.505 3.923 7
0288 pf 01 -1.762 2.936 3.424 7
0288 pf 02 -1.076 4.359 4.489 7
0288 pf 03 -2.007 3.862 4.353 7
0288 pf 04 -1.192 3.887 4.065 7
0288 pf 05 -1.175 3.240 3.447 7
0288 pf 06 -1.090 3.228 3.407 7
0288 pf 07 -0.556 3.336 3.382 7
0288 pf 08 -0.553 2.750 2.805 7
0288 pf 09 -1.807 3.689 4.108 7
0288 pf 10 -1.385 3.132 3.424 7
0288 pf 11 -1.922 3.421 3.924 7
0288 pf 12 -0.859 3.645 3.745 7
0288 pf 13 -1.924 3.839 4.294 7
0288 pf 14 -1.977 2.867 3.483 7
0288 pf 15 -1.737 2.597 3.125 7
0288 pf 16 -2.141 3.446 4.057 7
0288 pf 17 -1.188 4.146 4.312 7
0288 pf 18 -0.418 3.630 3.654 7
0288 pf 19 -1.930 3.457 3.959 7
0288 pf 20 -0.801 3.059 3.162 7
0288 pf 21 0.058 3.258 3.259 6
0288 pf 22 -2.048 3.466 4.026 7
0288 pf 23 -2.517 3.431 4.255 7
0288 pf 24 -1.292 2.987 3.254 7
0288 pf 25 -1.714 3.106 3.547 7
0288 pf 26 -0.950 4.435 4.536 7
0288 pf 27 -2.395 2.839 3.714 7
0288 pf 28 -1.712 3.026 3.477 7
0288 pf 29 -1.521 2.945 3.314 7
0288 pf 30 -1.289 3.663 3.883 7
0288 pf 31 -2.038 3.307 3.885 7
0288 pf 32 -1.861 3.601 4.054 7
0288 pf 33 -1.486 2.515 2.921 7
0288 pf 34 -0.187 3.269 3.274 7
0288 pf 35 -1.517 3.247 3.584 7
0288 pf 36 -0.728 3.277 3.357 7
0288 pf 37 -2.196 3.805 4.393 7
0288 pf 38 -2.069 3.122 3.746 7
0288 pf 39 -2.203 4.028 4.591 7
0288 pf 40 -1.555 3.045 3.419 7
0288 pf 41 -2.823 3.899 4.813 7
0288 pf 42 -1.576 3.172 3.542 7
0288 pf 43 -1.034 3.906 4.040 7
0288 pf 44 -1.345 3.336 3.597 7
0288 pf 45 -2.085 2.912 3.582 7
0288 pf 46 -2.187 2.538 3.350 7
0288 pf 47 -0.930 3.625 3.742 7
0288 pf 48 -2.029 2.897 3.537 7
0288 pf 49 -1.324 4.135 4.342 7
