ecmf prod rt 2016020400 51 046
0096 pf 41 0.876 -0.869 1.234 4
0096 pf 42 0.934 -0.417 1.023 4
0096 pf 43 0.809 -0.624 1.021 4
0096 pf 44 0.906 -0.693 1.141 4
0096 pf 45 0.534 -0.837 0.993 3
0096 pf 46 0.727 -0.884 1.145 3
0096 pf 47 0.528 -0.766 0.931 3
0096 pf 48 0.880 -0.250 0.915 4
0096 pf 49 0.874 -0.576 1.047 4
0096 pf 50 0.573 -0.819 1.000 3
0120 em 00 0.874 -0.597 1.059 4
0120 cf 00 0.900 -0.682 1.129 4
0120 pf 01 0.984 -0.533 1.119 4
0120 pf 02 0.781 -0.312 0.841 4
0120 pf 03 0.610 -0.319 0.689 4
0120 pf 04 0.662 -0.583 0.882 4
0120 pf 05 0.916 -0.560 1.073 4
0120 pf 06 0.907 -0.647 1.114 4
0120 pf 07 1.106 -0.179 1.120 4
0120 pf 08 0.809 -0.486 0.943 4
0120 pf 09 1.007 -0.492 1.121 4
0120 pf 10 0.929 -0.911 1.301 4
0120 pf 11 0.682 -0.612 0.916 4
0120 pf 12 0.856 -0.253 0.893 4
0120 pf 13 0.660 -0.486 0.820 4
0120 pf 14 0.791 -0.711 1.064 4
0120 pf 15 0.939 -0.404 1.022 4
0120 pf 16 0.755 -0.637 0.988 4
0120 pf 17 0.777 -0.502 0.925 4
0120 pf 18 0.739 -0.337 0.813 4
0120 pf 19 0.772 -0.684 1.031 4
0120 pf 20 1.237 -0.901 1.530 4
0120 pf 21 0.786 -0.389 0.877 4
0120 pf 22 1.066 -0.332 1.117 4
0120 pf 23 0.717 -1.068 1.287 3
0120 pf 24 0.803 -0.865 1.181 3
0120 pf 25 0.696 -0.802 1.062 3
0120 pf 26 0.753 -0.494 0.901 4
0120 pf 27 1.095 -0.978 1.468 4
0120 pf 28 0.572 -0.436 0.719 4
0120 pf 29 0.951 -0.468 1.060 4
0120 pf 30 0.975 -0.020 0.975 4
0120 pf 31 1.003 -0.688 1.217 4
0120 pf 32 0.733 -0.690 1.007 4
0120 pf 33 0.790 -0.610 0.998 4
0120 pf 34 0.812 -0.541 0.976 4
0120 pf 35 1.158 -0.541 1.278 4
0120 pf 36 0.867 -0.874 1.231 3
0120 pf 37 1.013 -1.009 1.430 4
0120 pf 38 0.803 -0.544 0.969 4
0120 pf 39 0.739 -0.592 0.947 4
0120 pf 40 1.016 -0.530 1.146 4
0120 pf 41 1.129 -0.619 1.288 4
0120 pf 42 0.997 -0.453 1.095 4
0120 pf 43 0.800 -0.464 0.925 4
0120 pf 44 0.995 -0.388 1.067 4
0120 pf 45 0.558 -0.882 1.043 3
0120 pf 46 0.905 -0.839 1.234 4
0120 pf 47 0.701 -0.644 0.952 4
0120 pf 48 1.086 0.070 1.089 5
0120 pf 49 0.926 -0.671 1.144 4
0120 pf 50 0.899 -1.007 1.350 3
0144 em 00 1.015 -0.458 1.114 4
0144 cf 00 1.085 -0.565 1.223 4
0144 pf 01 1.219 -0.197 1.234 4
0144 pf 02 0.846 -0.155 0.860 4
0144 pf 03 0.661 -0.081 0.666 4
0144 pf 04 0.894 -0.520 1.034 4
0144 pf 05 1.111 -0.547 1.238 4
0144 pf 06 1.028 -0.337 1.082 4
0144 pf 07 1.255 -0.015 1.255 4
0144 pf 08 1.074 -0.403 1.147 4
0144 pf 09 1.035 -0.307 1.079 4
0144 pf 10 1.117 -0.497 1.222 4
0144 pf 11 0.747 -0.435 0.865 4
0144 pf 12 0.889 -0.083 0.893 4
0144 pf 13 0.901 -0.378 0.977 4
0144 pf 14 1.131 -0.615 1.287 4
0144 pf 15 1.291 -0.457 1.370 4
0144 pf 16 1.117 -0.546 1.244 4
0144 pf 17 0.932 -0.260 0.968 4
0144 pf 18 0.741 -0.337 0.814 4
0144 pf 19 0.830 -0.504 0.971 4
0144 pf 20 1.361 -0.802 1.580 4
0144 pf 21 0.871 -0.377 0.950 4
0144 pf 22 1.034 -0.115 1.040 4
0144 pf 23 0.910 -0.696 1.146 4
0144 pf 24 1.053 -0.602 1.213 4
0144 pf 25 0.714 -0.797 1.070 3
0144 pf 26 0.700 -0.269 0.750 4
0144 pf 27 1.316 -0.776 1.528 4
0144 pf 28 0.785 -0.303 0.842 4
0144 pf 29 1.046 -0.325 1.096 4
0144 pf 30 0.992 -0.107 0.998 4
0144 pf 31 1.097 -0.395 1.165 4
0144 pf 32 0.757 -0.651 0.998 4
0144 pf 33 0.843 -0.331 0.906 4
0144 pf 34 0.898 -0.467 1.012 4
0144 pf 35 1.452 -0.424 1.513 4
0144 pf 36 1.152 -0.578 1.289 4
0144 pf 37 1.450 -0.866 1.689 4
0144 pf 38 0.758 -0.438 0.876 4
0144 pf 39 0.871 -0.412 0.963 4
0144 pf 40 1.103 -0.581 1.247 4
0144 pf 41 1.131 -0.388 1.196 4
0144 pf 42 1.051 -0.325 1.100 4
0144 pf 43 1.115 -0.502 1.222 4
0144 pf 44 1.164 -0.345 1.214 4
0144 pf 45 0.678 -0.945 1.163 3
0144 pf 46 1.105 -0.817 1.374 4
0144 pf 47 0.884 -0.540 1.036 4
0144 pf 48 0.950 0.154 0.963 5
0144 pf 49 1.037 -0.449 1.130 4
0144 pf 50 1.214 -0.911 1.518 4
0168 em 00 1.164 -0.597 1.308 4
0168 cf 00 1.282 -0.660 1.442 4
0168 pf 01 1.209 -0.291 1.243 4
0168 pf 02 0.681 -0.419 0.800 4
0168 pf 03 0.659 -0.189 0.686 4
0168 pf 04 1.374 -0.668 1.528 4
0168 pf 05 1.281 -0.733 1.476 4
0168 pf 06 1.114 -0.442 1.199 4
0168 pf 07 1.249 -0.070 1.251 4
0168 pf 08 1.359 -0.790 1.572 4
0168 pf 09 1.116 -0.483 1.216 4
0168 pf 10 1.426 -0.503 1.512 4
0168 pf 11 0.629 -0.952 1.142 3
0168 pf 12 0.928 -0.250 0.961 4
0168 pf 13 0.999 -0.659 1.197 4
0168 pf 14 1.232 -0.777 1.457 4
0168 pf 15 1.357 -0.457 1.431 4
0168 pf 16 1.419 -0.454 1.490 4
0168 pf 17 1.182 -0.462 1.269 4
0168 pf 18 0.922 -0.571 1.085 4
0168 pf 19 1.152 -0.754 1.377 4
0168 pf 20 1.388 -0.945 1.679 4
0168 pf 21 0.922 -0.664 1.136 4
0168 pf 22 1.017 -0.162 1.029 4
0168 pf 23 1.075 -0.676 1.269 4
0168 pf 24 1.266 -0.638 1.418 4
0168 pf 25 1.081 -1.000 1.472 4
0168 pf 26 1.194 -0.506 1.297 4
0168 pf 27 1.609 -0.801 1.797 4
0168 pf 28 0.904 -0.566 1.067 4
0168 pf 29 1.310 -0.422 1.376 4
0168 pf 30 1.121 -0.165 1.133 4
0168 pf 31 1.325 -0.561 1.438 4
0168 pf 32 1.017 -1.006 1.430 4
0168 pf 33 1.039 -0.397 1.112 4
0168 pf 34 0.683 -0.698 0.977 3
0168 pf 35 1.780 -0.351 1.814 4
0168 pf 36 1.345 -0.583 1.466 4
0168 pf 37 1.595 -0.930 1.846 4
0168 pf 38 0.838 -0.570 1.014 4
0168 pf 39 1.090 -0.496 1.198 4
0168 pf 40 1.032 -0.569 1.179 4
0168 pf 41 1.259 -0.617 1.402 4
0168 pf 42 0.966 -0.252 0.998 4
0168 pf 43 1.263 -0.404 1.326 4
0168 pf 44 1.237 -0.652 1.399 4
0168 pf 45 0.963 -0.915 1.329 4
0168 pf 46 1.150 -1.204 1.665 3
0168 pf 47 1.026 -0.832 1.321 4
0168 pf 48 1.006 0.174 1.021 5
0168 pf 49 1.234 -0.500 1.331 4
0168 pf 50 1.704 -1.106 2.032 4
0192 em 00 1.315 -0.716 1.497 4
0192 cf 00 1.352 -0.872 1.609 4
0192 pf 01 1.153 -0.236 1.177 4
0192 pf 02 1.163 -0.660 1.337 4
0192 pf 03 0.691 -0.456 0.828 4
0192 pf 04 1.575 -0.799 1.766 4
0192 pf 05 1.335 -0.734 1.523 4
0192 pf 06 1.129 -0.722 1.340 4
0192 pf 07 1.296 -0.148 1.304 4
0192 pf 08 1.404 -1.220 1.860 4
0192 pf 09 1.363 -0.637 1.505 4
0192 pf 10 1.665 -0.385 1.709 4
0192 pf 11 0.820 -1.311 1.546 3
0192 pf 12 0.931 -0.254 0.965 4
0192 pf 13 1.153 -0.941 1.489 4
0192 pf 14 1.555 -0.663 1.690 4
0192 pf 15 1.364 -0.480 1.446 4
0192 pf 16 1.439 -0.277 1.465 4
0192 pf 17 1.331 -0.755 1.530 4
0192 pf 18 0.812 -0.669 1.052 4
0192 pf 19 1.367 -0.860 1.615 4
0192 pf 20 1.594 -0.945 1.853 4
0192 pf 21 0.943 -0.915 1.314 4
0192 pf 22 1.018 -0.608 1.185 4
0192 pf 23 1.382 -0.808 1.601 4
0192 pf 24 1.485 -0.618 1.609 4
0192 pf 25 1.442 -0.952 1.728 4
0192 pf 26 1.398 -0.643 1.539 4
0192 pf 27 1.782 -0.717 1.921 4
0192 pf 28 1.071 -0.740 1.302 4
0192 pf 29 1.520 -0.763 1.701 4
0192 pf 30 1.268 -0.511 1.367 4
0192 pf 31 1.440 -0.511 1.528 4
0192 pf 32 1.382 -1.240 1.857 4
0192 pf 33 1.039 -0.474 1.142 4
0192 pf 34 0.792 -1.049 1.315 3
0192 pf 35 1.684 -0.556 1.773 4
0192 pf 36 1.502 -0.607 1.620 4
0192 pf 37 1.808 -0.835 1.992 4
0192 pf 38 0.742 -0.743 1.050 3
0192 pf 39 1.468 -0.105 1.472 4
0192 pf 40 0.964 -0.633 1.153 4
0192 pf 41 1.410 -0.557 1.516 4
0192 pf 42 1.019 -0.281 1.057 4
0192 pf 43 1.537 -0.495 1.615 4
0192 pf 44 1.459 -0.853 1.690 4
0192 pf 45 1.312 -1.084 1.702 4
0192 pf 46 1.310 -1.386 1.908 3
0192 pf 47 1.502 -0.921 1.762 4
0192 pf 48 0.823 0.076 0.827 5
0192 pf 49 1.418 -0.606 1.542 4
0192 pf 50 2.178 -1.346 2.560 4
0216 em 00 1.385 -0.550 1.490 4
0216 cf 00 1.282 -0.544 1.392 4
0216 pf 01 1.219 0.067 1.221 5
0216 pf 02 1.167 -0.873 1.457 4
0216 pf 03 0.818 -0.694 1.073 4
0216 pf 04 1.741 -0.653 1.859 4
0216 pf 05 1.276 -0.537 1.385 4
0216 pf 06 1.098 -0.579 1.241 4
0216 pf 07 1.208 -0.035 1.209 4
0216 pf 08 1.380 -1.021 1.716 4
0216 pf 09 1.549 -0.396 1.599 4
0216 pf 10 1.531 -0.378 1.577 4
0216 pf 11 0.705 -1.097 1.304 3
0216 pf 12 0.781 -0.101 0.788 4
0216 pf 13 1.416 -0.818 1.635 4
0216 pf 14 1.618 -0.269 1.640 4
0216 pf 15 1.471 -0.372 1.517 4
0216 pf 16 1.508 -0.171 1.517 4
0216 pf 17 1.318 -0.480 1.402 4
0216 pf 18 1.033 -0.784 1.297 4
0216 pf 19 1.686 -0.790 1.862 4
0216 pf 20 1.692 -0.620 1.802 4
0216 pf 21 1.318 -0.644 1.467 4
0216 pf 22 0.954 -0.402 1.036 4
0216 pf 23 1.286 -0.707 1.467 4
0216 pf 24 1.580 -0.449 1.643 4
0216 pf 25 1.677 -0.435 1.732 4
0216 pf 26 1.490 -0.597 1.605 4
0216 pf 27 1.780 -0.566 1.867 4
0216 pf 28 1.007 -0.626 1.186 4
0216 pf 29 1.616 -0.593 1.721 4
0216 pf 30 1.244 -0.516 1.347 4
0216 pf 31 1.574 -0.277 1.598 4
0216 pf 32 1.691 -1.079 2.006 4
0216 pf 33 1.140 -0.346 1.191 4
0216 pf 34 0.476 -0.873 0.994 3
0216 pf 35 1.494 -0.431 1.555 4
0216 pf 36 1.558 -0.141 1.564 4
0216 pf 37 2.098 -0.286 2.118 4
0216 pf 38 1.005 -0.513 1.128 4
0216 pf 39 1.788 0.257 1.806 5
0216 pf 40 0.976 -0.352 1.038 4
0216 pf 41 1.391 -0.754 1.582 4
0216 pf 42 0.904 -0.198 0.926 4
0216 pf 43 1.252 -0.417 1.320 4
0216 pf 44 1.575 -0.588 1.681 4
0216 pf 45 1.338 -0.992 1.665 4
0216 pf 46 1.715 -1.155 2.067 4
0216 pf 47 1.664 -0.741 1.822 4
0216 pf 48 0.867 -0.042 0.868 4
0216 pf 49 2.007 -0.525 2.075 4
0216 pf 50 2.082 -0.952 2.289 4
0240 em 00 1.417 -0.220 1.434 4
0240 cf 00 1.202 -0.142 1.211 4
0240 pf 01 1.135 0.133 1.143 5
0240 pf 02 1.104 -1.087 1.550 4
0240 pf 03 0.825 -0.659 1.056 4
0240 pf 04 1.850 -0.201 1.861 4
0240 pf 05 1.252 -0.438 1.326 4
0240 pf 06 1.195 -0.224 1.216 4
0240 pf 07 1.021 0.050 1.022 5
0240 pf 08 1.213 -0.766 1.435 4
